"","Site","Date","Agapostemon femoratus","Agapostemon sericeus","Agapostemon splendens","Agapostemon texanus","Agapostemon virescens","Andrena asteris","Andrena commoda","Andrena cressonii cressonii","Andrena forbesii","Andrena fragilis","Andrena geranii","Andrena hirticincta","Andrena ignota","Andrena imitatrix","Andrena integra","Andrena melanochroa","Andrena nivalis","Andrena nubecula","Andrena nuda","Andrena platyparia","Andrena robertsonii","Andrena rudbeckiae","Andrena sp.","Andrena spiraeana","Andrena w-scripta","Andrena wilkella","Andrena wilmattae","Andrena ziziae","Anthophora bomboides","Anthophora terminalis","Anthophora walshii","Apis mellifera","Ashmeadiella bucconis","Augochlora pura","Augochlorella aurata","Augochloropsis fulgida","Augochloropsis metallica","Bombus auricomus","Bombus bimaculatus","Bombus borealis","Bombus citrinus","Bombus fervidus","Bombus griseocollis","Bombus impatiens","Bombus pensylvanicus","Bombus vagans","Calliopsis andreniformis","Calliopsis coloradensis","Calliopsis nebraskensis","Ceratina calcarata","Ceratina dupla","Ceratina mikmaqi","Ceratina sp.","Coelioxys sayi","Colletes americanus","Colletes consors","Colletes kincaidii","Colletes latitarsis","Colletes simulans","Colletes sp.","Dufourea novaeangliae","Eucera atriventris","Eucera hamata","Florilegus condignus","Halictus confusus","Halictus ligatus","Halictus parallelus","Halictus rubicundus","Halictus sp.","Halictus virgatellus","Holcopasties calliopsidis","Hoplitis pilosifrons","Hylaeus affinis","Hylaeus lectocephalus","Hylaeus mesillae","Hylaeus sp.","Lasioglossum (Dialictus) anomalum","Lasioglossum (Dialictus) sp.","Lasioglossum (Evylaeus) cinctipes","Lasioglossum (Evylaeus) fedorense","Lasioglossum (Evylaeus) nelumbonis","Lasioglossum (Evylaeus) quebecense","Lasioglossum (Evylaeus) sp.","Lasioglossum (Hemihalictus) nelumbonis","Lasioglossum (Hemihalictus) pectorale","Lasioglossum (Leuchalictus) leucozonium","Lasioglossum (Leuchalictus) zonulum","Lasioglossum (Sphecodogastra) truncatum","Lasioglossum s.s. acuminatum","Lasioglossum s.s. athabascense","Lasioglossum s.s. cinctipes","Lasioglossum s.s. coriaceum","Lasioglossum s.s. forbesii","Lasioglossum s.s. fuscipenne","Lasioglossum s.s. leucozonium","Lasioglossum s.s. paraforbesii","Lasioglossum s.s. sp.","Lasioglossum sp.","Megachile brevis","Megachile campanulae","Megachile centuncularis","Megachile concinna","Megachile frugalis","Megachile latimanus","Megachile montivaga","Megachile pugnata","Megachile relativa","Megachile rotundata","Melissodes agilis","Melissodes bidentis","Melissodes bimaculata","Melissodes boltoniae","Melissodes communis","Melissodes comptoides","Melissodes coreopsis","Melissodes denticulata","Melissodes denticulatus","Melissodes dentiventris","Melissodes desponsa","Melissodes druriella","Melissodes fumosus","Melissodes nivea","Melissodes sp.","Melissodes subillata","Melissodes trinodis","Melissodes vernoniae","Melissodes wheeleri","Nomada articulata","Nomada denticulata","Nomada depressa","Nomada erigeronis","Nomada graenicheri","Nomada imbricata","Nomada parva","Nomada sp.","Nomada superba","Nomia universitatis","Osmia atriventris","Osmia bucephala","Osmia inermis","Osmia lignaria","Peponapis pruinosa","Perdita sp.","Protandrena bancrofti","Pseudopanurgus albitarsis","Pseudopanurgus solidaginis","Sphecodes clematidis","Sphecodes sp.","Svastra obliqua","Triepeolus concavus","Triepeolus distinctus","Triepeolus donatus","Triepeolus lunatus","Triepeolus simplex","Unidentifiable","Wasp","Xeromelecta interrupta","Xylocopa micans","Xylocopa virginica"
"1","Bowman",2014-05-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Bowman",2014-06-20,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Bowman",2014-07-17,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Bowman",2014-08-14,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5","Bowman",2015-04-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Bowman",2015-05-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Bowman",2015-06-16,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Bowman",2015-07-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Bowman",2015-08-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Bowman",2016-05-03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
